Immune cells	Malignant cells	Others
CYGB	0.00167	0.01856	0
CYHR1	0.1266	0.31282	0.35004
CYLC1	0	0.00052	0
CYLC2	0.00051	0.00063	2e-04
CYLD	0.14614	0.06901	0.15982
CYP11A1	0	0.0014	0
CYP17A1	0.00157	0.00021	0.00101
CYP19A1	0.01493	0.00303	0.00019
CYP1A2	0.04261	0.04944	0.03349
CYP1B1	0.01713	0.00969	0
CYP1B1-AS1	0.00128	5e-04	0
CYP20A1	0.17233	0.20728	0.15035
CYP21A1P	5e-04	0.00423	0.00637
CYP21A2	5e-05	0.00565	0.01076
CYP24A1	0	0.00265	0
CYP26A1	0.00113	0.00406	0
CYP26B1	0.00043	0.0061	0.00012
CYP26C1	0.00047	5e-04	0
CYP27A1	0.11144	0.14494	0.95159
CYP27B1	0.0048	0.05167	0.00252
CYP27C1	0.01205	0.02415	0.00934
CYP2A13	0.00011	0.00013	0
CYP2A6	8e-05	0.00187	5e-05
CYP2A7	0.00015	0.00087	0.00119
CYP2B6	0.01412	0.01515	0.00957
CYP2C18	0.00025	0.00081	0.00167
CYP2C8	0.00062	0.00628	0
CYP2C9	0.00012	0.00027	0
CYP2D6	0.01024	0.03037	0.02215
CYP2E1	0.00019	0.01002	0.00601
CYP2F1	0.00095	0.00531	0.00509
CYP2G1P	0.00027	0.00768	0.00867
CYP2J2	0.00012	0.03163	0.65077
CYP2R1	0.07916	0.04546	0.03616
CYP2S1	0.11968	0.00026	0
CYP2U1	0.01701	0.05958	0.0452
CYP2W1	0.00276	0.00386	0.00295
CYP39A1	0	0.00507	0.0062
CYP3A4	0.00151	0.00267	0.00124
CYP3A43	0.00015	0.00281	0
CYP3A5	0.02992	0.10569	0.03636
CYP3A7	0.00042	0.00167	0.00088
CYP46A1	0.00038	0.02325	0.0353
CYP4A11	0.00428	0.00734	0.00337
CYP4F11	0.00851	0.01725	0.01969
CYP4F12	0	0.00766	0.00018
CYP4F2	0	0.00074	0
CYP4F24P	0.00019	0.02811	0.00342
CYP4F3	0.00088	0.00085	0
CYP4F30P	0.00063	0.00144	0.00052
CYP4F35P	0.00083	0.01265	0.00292
CYP4V2	0.14165	0.19846	0.17689
CYP4X1	0	0.00689	0
CYP4Z1	0	0.00035	0
CYP51A1	0.21331	0.79474	0.67963
CYP7A1	0	0.00059	0
CYP7B1	8e-05	0.01655	0.14614
CYP8B1	0.00675	0.00536	0.00225
CYR61	0.00636	0.39113	0.00701
CYS1	0.0024	0.00167	0
CYSLTR1	0.07076	0.00032	0
CYSLTR2	0.0168	0.00345	0
CYSTM1	0.15838	0.29731	0.50729
CYTH1	0.41281	0.18555	0.71168
CYTH2	0.08419	0.25605	0.16708
CYTH3	0.04968	0.04994	0.00602
CYTH4	0.49283	0.00082	0
CYTIP	0.50024	0.00219	0.00013
CYTL1	0.39815	0.15617	0.00037
CYYR1	0.00661	0.01254	0
D2HGDH	0.04729	0.06396	0.03806
DAAM1	0.03801	0.14802	0.02224
DAAM2	0.00737	0.00653	0.6457
DAB1	0.00034	0.04047	7e-04
DAB2	0.45549	0.03249	0.00012
DAB2IP	0.00683	0.03639	0.01228
DACH2	0	0.01529	0
DACT1	0.00372	0.01629	0.00415
DACT2	0	0.00619	0.0024
DACT3	0.00694	0.02983	0.09214
DACT3-AS1	0.00417	0.01439	0.04615
DAD1	0.83205	1.10188	1.44304
DAG1	0.03223	0.37774	0.1479
DAGLA	0.00507	0.06031	0.00392
DAGLB	0.52389	0.19736	0.09758
TKFC	0.06193	0.07267	0.0361
DALRD3	0.08883	0.26606	0.13897
DANCR	0.17274	0.87733	0.41243
DAND5	0.09331	0.12299	0.08881
DAO	0.00136	0.00098	0
DAOA-AS1	5e-05	0.00031	0.00226
DAP	0.40148	0.46475	0.13666
DAP3	0.43485	0.48485	0.24148
DAPK1	0.15869	0.08941	1e-04
DAPK2	0.00733	0.01974	0.12381
DAPK3	0.07696	0.30112	0.15848
DAPL1	0	0.02548	0.00893
DAPP1	0.1608	0.01025	0.00757
ACKR1	0.00077	0.0408	0.01058
DARS	0.5406	0.76936	0.47149
DARS2	0.08311	0.13514	0.03125
DAW1	0	0.00108	0
DAXX	0.11678	0.31138	0.20038
DAZ2	1e-05	0.00953	0
DAZ4	0	0.00167	0
DAZAP1	0.0257	0.04488	0.05012
DAZAP2	1.54509	1.1243	1.81621
DAZL	0	3e-04	0
DBF4	0.04606	0.15481	0.00706
DBF4B	0.02088	0.04449	0.04325
DBH	0.00065	8e-04	0
DBI	0.87551	2.3771	1.23398
DBIL5P	0.00256	0.00767	0
DBIL5P2	0.00347	0.00926	0.00397
DBN1	0.00459	0.81914	0.0077
DBNDD1	0.00149	0.10809	0.01029
DBNDD2	0.35741	0.3798	4.2701
DBNL	0.75449	0.63924	0.51576
DBP	0.02061	0.02638	0.00044
DBR1	0.1084	0.20002	0.14264
DBT	0.04914	0.08995	0.06095
DBX2	0.00096	0.04379	0
DCAF10	0.0573	0.11637	0.06089
DCAF11	0.20137	0.24765	0.20478
DCAF12	0.18487	0.23251	0.08236
DCAF12L2	2e-05	0.00811	0.00097
DCAF13	0.2112	0.65253	0.19341
DCAF13P3	0.00876	0.00756	0.00703
DCAF15	0.00861	0.01258	0.00204
DCAF16	0.09232	0.30997	0.27182
DCAF17	0.03193	0.08443	0.08375
DCAF4	0.02127	0.06699	0.06451
DCAF4L1	0.00782	0.01818	0.00189
DCAF4L2	0	0.01451	0
DCAF5	0.07952	0.11583	0.03675
DCAF6	0.1411	0.10267	0.08465
DCAF7	0.26551	0.52444	0.33055
DCAF8	0.3373	0.53	0.59535
DCAF8L1	0	0.00029	0
DCAF8L2	3e-04	0.00025	8e-05
DCAKD	0.07888	0.43536	0.21501
DCBLD1	0.00684	0.02989	0.00705
DCBLD2	0.02608	0.10141	0.02956
DCC	4e-04	0.12226	0.01425
DCDC1	0.00062	0.00868	0.00024
DCDC2	0.00438	0.00909	0.00275
DCDC2B	0.01767	0.03498	0.01096
DCHS1	0.00986	0.18421	0.02679
DCHS2	0.00018	0.01112	0.00055
DCK	0.4538	0.24076	0.21136
DCLK1	0.00295	0.13796	0.00317
DCLK2	0.00242	0.2245	0.01846
DCLK3	0	0.00036	0
DCLRE1A	0.03032	0.08126	0.03699
DCLRE1B	0.06204	0.13161	0.03002
DCLRE1C	0.12075	0.16894	0.09132
DCN	0.00684	0.10963	0.00392
DCP1B	0.04898	0.13028	0.08292
DCP2	0.15169	0.18342	0.0488
DCPS	0.09445	0.14062	0.08686
DCST1	9e-05	0.00056	0.00027
DCST2	0.00167	0.00222	0.00116
DCSTAMP	0.02782	0.00063	0
DCT	0.00163	0.01585	0.0026
DCTD	0.32073	0.37367	0.09911
DCTN1	0.22425	0.57529	1.0928
DCTN1-AS1	0.00062	0.00197	0.06124
DCTN2	0.4371	1.2054	1.14166
DCTN3	0.31276	0.84191	0.71784
DCTN4	0.32869	0.584	0.50165
DCTN5	0.10363	0.25178	0.15496
DCTN6	0.37889	0.75797	1.09048
DCTPP1	0.17531	0.48428	0.14538
DCUN1D1	0.36678	0.46094	0.54555
DCUN1D2	0.08998	0.1546	0.14018
DCUN1D3	0.06724	0.07404	0.07273
DCUN1D4	0.06348	0.26447	0.2319
DCUN1D5	0.03523	0.1009	0.05618
DCX	0.00371	0.37308	0.0058
DCXR	0.35001	0.56295	0.56585
DDA1	0.04575	0.11849	0.08175
DDAH1	0.00377	0.52493	0.02091
DDAH2	0.46915	0.6182	0.08616
DDB1	0.28679	0.61962	0.46233
DDB2	0.23545	0.18263	0.0749
DDC	6e-05	0.00271	0
DDHD1	0.06166	0.08941	0.07323
DDHD2	0.10614	0.32367	0.3781
DDI1	0.00014	0.00232	0
DDI2	0.06195	0.05771	0.03268
DDIT3	0.62673	0.82923	0.89024
DDIT4	1.30296	0.59201	0.50295
DDIT4L	0.00121	0.01829	0
DDN	0.00072	0.00195	0
DDO	0.01662	0.02414	0.14525
DDOST	0.92113	1.13216	0.657
DDR1	0.02921	0.82515	1.31025
DDR2	0.00379	0.06029	0.00148
DDRGK1	0.18546	0.35068	0.45574
DDT	0.25881	0.37463	0.5182
DDTL	0.04465	0.05205	0.03984
DDX1	0.24967	0.79965	0.57919
DDX10	0.1248	0.2081	0.08256
DDX11	0.04213	0.16414	0.04045
DDX11-AS1	0.00497	0.04868	0.00273
DDX11L1	0.00246	0.00597	0.00288
DDX11L10	2e-05	0.00197	0.00384
DDX11L2	0.00937	0.01954	0.01227
DDX11L5	2e-04	0.00172	0.0011
DDX11L9	0.00225	0.00788	0.00237
DDX12P	0.02141	0.07725	0.0062
DDX17	0.69543	0.8284	0.90748
DDX18	0.20696	0.28992	0.18943
DDX19A	0.09805	0.21564	0.1306
DDX19B	0.27051	0.27823	0.12395
DDX20	0.06097	0.13866	0.04933
DDX21	0.23759	0.1689	0.09467
DDX23	0.13175	0.34282	0.19924
DDX24	0.38475	0.4737	0.58879
DDX25	0.00303	0.09284	0.03174
INTS6L	0.08889	0.04682	0.0278
DDX27	0.24764	0.27802	0.20256
DDX28	0.0443	0.10762	0.03581
DDX31	0.0397	0.07821	0.03067
DDX39A	0.50128	0.72268	0.63124
DDX39B	0.53707	0.98719	0.58875
DDX3X	0.92127	0.78052	0.55111
DDX3Y	0.32735	0.136	0.14234
DDX4	5e-04	0.0073	0.00129
DDX41	0.21258	0.45292	0.1673
DDX42	0.09176	0.17367	0.07626
DDX43	0.02147	0.00126	0.01453
DDX46	0.16559	0.24932	0.12988
DDX47	0.36737	0.6164	0.41777
DDX49	0.11925	0.41683	0.22029
DDX5	2.58968	2.43765	2.12159
DDX50	0.13628	0.18906	0.10456
DDX51	0.07529	0.12087	0.07904
DDX53	0.00038	0.00169	0
DDX54	0.12273	0.20124	0.09133
DDX55	0.06676	0.17354	0.05333
DDX56	0.17129	0.54077	0.21167
DDX58	0.10641	0.08749	0.10421
DDX59	0.11991	0.19947	0.09158
DDX6	0.45499	0.66663	0.49644
DDX60	0.07213	0.05494	0.05599
DDX60L	0.12062	0.03868	0.01805
DEAF1	0.01794	0.06461	0.02297
DEC1	0.00044	0.00072	0
DECR1	0.43169	0.74721	0.46701
DECR2	0.05397	0.15766	0.07299
DEDD	0.19146	0.34865	0.22073
DEDD2	0.28776	0.22384	0.2106
DEF6	0.40911	0.00402	7e-05
DEF8	0.19155	0.36861	0.42964
DEFB1	0.00097	6e-04	0
DEFB109A	0	0.00632	0.00306
DEFB109B	0.00099	0.0147	0.02185
DEFB122	0.00059	0.00061	0
DEFB130A	0.0013	0.00063	0.00097
DEFB131A	0.00018	0.00077	0
DEGS1	0.8707	0.94473	1.32713
DEGS2	0.01063	0.00432	0
DEK	0.55249	0.71485	0.43941
DENND1A	0.06891	0.07316	0.11198
DENND1B	0.06881	0.08492	3e-05
DENND1C	0.15744	0.00049	0.00142
DENND2A	0.00128	0.13042	0.02947
DENND2C	0.00371	0.0043	0.00842
DENND2D	0.15422	0.01301	0.00808
DENND3	0.54322	0.01587	0
DENND4A	0.1399	0.08763	0.11294
DENND4B	0.18365	0.08359	0.10736
DENND4C	0.16799	0.14484	0.06137
DENND5A	0.12009	0.26731	0.62407
DENND5B	0.00844	0.09633	0.02935
DENND5B-AS1	0.00014	0.00411	0
DENND6A	0.09	0.11063	0.08611
DENND6B	0.05535	0.09761	0.04961
DENR	0.35106	0.70379	0.2037
DEPDC1	0.0063	0.04672	0.05597
DEPDC1B	0.00718	0.10125	0.02386
DEPDC4	0.00457	0.016	0.0129
DEPDC5	0.08157	0.1227	0.08405
DEPDC7	0.05248	0.068	0.12333
DEPTOR	0.14549	0.01338	0.27489
DERA	0.27577	0.37273	0.47415
DERL1	0.28924	0.36127	0.32252
DERL2	0.35998	0.44454	0.26599
DERL3	0.03462	0.01999	0.00247
DES	0.00028	0.04619	0
DESI1	0.12606	0.17035	0.28322
DESI2	0.05271	0.12645	0.01641
DET1	0.0316	0.08059	0.07277
DEXI	0.06844	0.04398	0.03195
DFFA	0.23425	0.45959	0.39649
DFFB	0.06481	0.11151	0.07949
GSDME	0.27515	0.43301	0.09286
WHRN	0.00635	0.02291	0.10022
PJVK	0.01797	0.02747	0.01641
DGAT1	0.02736	0.04731	0.01093
DGAT2	0.00141	0.01202	4e-05
DGAT2L6	0.00046	0.00119	0
DGCR10	0.001	0.00702	0
DGCR11	0.00908	0.02293	0.02167
ESS2	0.03524	0.09217	0.05685
DGCR2	0.15391	0.43169	0.35228
DGCR5	9e-05	0.01638	0.00234
DGCR6	0.04204	0.12667	0.07439
DGCR6L	0.20069	0.46122	0.43372
DGCR8	0.04606	0.14853	0.10042
DGCR9	0.00115	0.03334	0.00217
DGKA	0.26989	0.0844	0.00304
DGKB	0.01505	0.17802	0.01881
DGKD	0.06034	0.08842	0.08397
DGKE	0.02821	0.02487	0.01597
DGKG	0.00806	0.14985	0.02808
DGKH	0.01125	0.02226	0.00269
DGKI	0.00018	0.07622	0.03879
DGKQ	0.03427	0.03697	0.02006
DGKZ	0.10986	0.05257	0.04906
DGUOK	0.2758	0.67895	0.37901
DHCR24	0.01833	0.16358	0.72928
DHCR7	0.09273	0.32906	0.49076
DHDDS	0.09417	0.18004	0.10425
DHDH	0.00202	0.00183	0.00105
DHFR	0.02459	0.15953	0.03392
DHFR2	0.0259	0.06468	0.10031
DHH	7e-04	0.00442	0.00697
DHODH	0.06068	0.13314	0.07697
DHPS	0.25092	0.87333	0.71286
DHRS1	0.1301	0.11168	0.14456
DHRS12	0.08698	0.07781	0.10304
DHRS13	0.01443	0.18876	0.0756
DHRS2	0.00367	0.00723	0.00343
DHRS3	0.92196	0.15899	0.02111
DHRS4	0.23433	0.14498	0.1814
DHRS4-AS1	0.08781	0.11923	0.15289
DHRS4L2	0.16765	0.11604	0.08146
DHRS7	1.31236	0.63275	0.9628
DHRS7B	0.07386	0.1668	0.08246
DHRS9	0.12527	0.0012	0.00021
DHRSX	0.12212	0.25995	0.09512
DHTKD1	0.10851	0.15843	0.15032
DHX15	0.40494	0.84399	0.58787
DHX16	0.14899	0.18175	0.13684
DHX29	0.13409	0.25936	0.28286
DHX30	0.19399	0.52517	0.35105
DHX32	0.03454	0.04071	0.02651
DHX33	0.03893	0.11279	0.04578
DHX34	0.07802	0.10118	0.0474
DHX35	0.08887	0.15203	0.08356
DHX36	0.16039	0.29262	0.17551
DHX37	0.02301	0.06051	0.05032
DHX38	0.12493	0.22835	0.17741
DHX40	0.1262	0.45581	0.21761
DHX57	0.04993	0.13674	0.04008
DHX58	0.06598	0.02534	0.01054
DHX8	0.13137	0.22077	0.1158
DHX9	0.27916	0.70464	0.45016
DIABLO	0.18739	0.57311	0.38383
DIAPH1	0.07944	0.12181	0.01576
DIAPH2	0.07323	0.02894	0.01225
DIAPH3	0.00836	0.06212	0.00436
DIAPH3-AS1	0	0.00065	0
DIAPH3-AS2	0	0.00044	0
DICER1	0.12143	0.14604	0.3544
DICER1-AS1	0.02972	0.08671	0.06353
DIDO1	0.16908	0.31259	0.24631
UTP25	0.03488	0.07217	0.06339
DIMT1	0.20824	0.42457	0.40489
DIO1	0.0128	0.0043	0.00064
DIO2	0.00453	0.07886	0.00764
DIO2-AS1	0.0015	0.00224	0.00053
DIO3	8e-05	0.00601	0
DIO3OS	0.00071	0.00023	9e-05
DIP2A	0.16698	0.22052	0.31777
DIP2A-IT1	0.00351	0.00579	0.00655
DIP2B	0.13614	0.29377	0.68078
DIP2C	0.02792	0.10289	0.23311
DIRAS1	0.00051	0.01261	0.00213
DIRAS2	0.00082	0.13981	0.0396
DIRAS3	0.00441	0.18287	0.04795
DIRC1	0.00246	0.00509	0.00489
DIRC2	0.04535	0.03871	0.04615
DIRC3	0.01235	0.02009	0.00073
DIS3	0.0926	0.17914	0.11515
DIS3L	0.13327	0.20886	0.19035
DIS3L2	0.11788	0.23022	0.36088
DISC1	0.13648	0.14988	0.0587
DISP1	0.09093	0.05034	0.01137
DISP2	0.00485	0.02232	0.00208
DIXDC1	0.00934	0.08951	0.45275
DKC1	0.3072	0.40688	0.19643
DKK1	0	0.00746	0.00347
DKK2	0.00178	0.00083	0
DKK3	0.00965	0.37597	0.04598
DKK4	0.00052	0.00055	0
DKKL1	0	0.00653	0.00076
DLAT	0.07484	0.17954	0.11354
DLC1	0.01449	0.13806	0.43951
DLD	0.26017	0.64604	0.23344
DLEC1	0.01749	0.00286	8e-05
DLEU1	0.04849	0.15998	0.08136
DLEU2	0.09362	0.13263	0.09891
DLEU2L	0.03165	0.07125	0.02649
DLEU7	0.09547	0.01104	0.01352
DLEU7-AS1	0.06583	0.00708	0.00246
DLG1	0.04058	0.12436	0.52363
DLG1-AS1	0.00016	0.00131	0.00222
DLG2	0.00236	0.07425	0.83683
DLG3	0.00788	0.052	0.00868
DLG4	0.01221	0.06077	0.02472
DLG5	0.00379	0.13121	0.06066
DLG5-AS1	0.00433	0.00497	0.00313
DLGAP1	0.00131	0.24086	0.00886
DLGAP1-AS1	0.05041	0.07564	0.01349
DLGAP1-AS3	0	0.0126	0.00448
DLGAP1-AS5	0.00044	0.02811	5e-05
DLGAP2	0.00216	8e-04	0
DLGAP3	0.00474	0.00371	0
DLGAP4	0.07477	0.34247	0.03861
DLGAP5	0.00656	0.07035	0.00451
DLK1	0	0.02401	0
DLK2	0.00122	0.01834	0.01722
DLL1	0.00741	0.31311	0.1367
DLL3	0.00051	0.33589	0.0028
DLL4	0.00034	0.00683	6e-05
DLST	0.10299	0.13094	0.06385
DLX1	7e-05	0.14734	0.00042
DLX2	0.00208	0.076	2e-04
DLX3	6e-05	0.00095	0
DLX4	0.00011	0.00149	0
DLX5	0	0.19545	0.00073
DLX6	0.00011	0.08877	0
DLX6-AS1	0.01993	0.17692	0.01892
DMAP1	0.16297	0.41021	0.3363
DMBT1	1e-05	1e-04	0.00604
DMBX1	0.01664	0.03098	0.01528
DMC1	0.05404	0.05736	0.04802
DMD	0.01475	0.12444	0.0988
DMGDH	0	0.01047	0
DMKN	0.00087	0.00241	0
DMP1	0.04875	0.0025	1e-04
DMPK	0.00245	0.11035	0.02325
DMRT1	0	0.00236	0
DMRT2	3e-05	0.02318	0.05264
DMRT3	0	0.00065	0
DMRTA1	0.00014	0.00687	0
DMRTA2	0.00052	0.02755	0.00634
DMRTC1	4e-05	0.01434	0
DMRTC1B	4e-05	0.01434	0
DMTF1	0.22802	0.55152	0.35337
DMWD	0.00248	0.08206	0.04846
DMXL1	0.10103	0.11191	0.19161
DMXL2	0.17902	0.15799	0.07292
DNA2	0.0098	0.04531	0.01968
DNAAF1	0.00918	0.00333	0
DNAAF2	0.04298	0.14094	0.11493
DNAAF3	0.00015	0.00664	0
DNAH1	0.04701	0.02678	0.03078
DNAH10	0.00029	0.00667	0.00813
DNAH11	0.00063	0.02794	0.00045
DNAH12	0.00278	0.00296	0.00334
DNAH14	0.01206	0.02603	0.00045
DNAH17	0.00971	0.00354	0.1051
DNAH2	0.00013	0.00319	1e-04
DNAH3	2e-04	0.00046	7e-05
DNAH5	0.00034	0.00263	4e-05
DNAH6	0	0.00979	0.00393
DNAH7	0.00036	0.0125	0.00026
DNAH8	0.00116	0.00039	3e-05
DNAH9	6e-04	0.05919	0.02705
DNAI1	4e-05	0.00293	0.00027
DNAI2	0.00031	0.00051	0.0039
DNAJA1	1.38305	1.43032	1.2784
DNAJA1P5	0.00027	0.00153	0
DNAJA2	0.33582	0.55292	0.42703
DNAJA3	0.16637	0.39435	0.21625
DNAJA4	0.1775	0.0722	0.11312
DNAJB1	1.50129	1.33093	1.6203
DNAJB11	0.42222	0.67206	0.57207
DNAJB12	0.23644	0.15451	0.26585
DNAJB13	0.00414	0.00738	0.0047
DNAJB14	0.34393	0.30387	0.32616
DNAJB2	0.02358	0.07013	0.28629
DNAJB4	0.2707	0.21898	0.41062
DNAJB5	0.02118	0.15908	0.05139
DNAJB6	0.93338	1.2249	1.11071
DNAJB7	0.02367	0.02816	0.01262
DNAJB8	0	0.00061	0.00023
DNAJB9	0.42235	0.5105	0.38395
DNAJC1	0.14452	0.16255	0.24168
DNAJC10	0.24375	0.29982	0.27055
DNAJC11	0.10828	0.25718	0.17977
DNAJC12	0.01937	0.05462	0.22297
DNAJC13	0.09248	0.05871	0.0533
DNAJC14	0.16023	0.19651	0.18168
DNAJC15	0.13696	0.19487	0.14475
DNAJC16	0.08838	0.11576	0.18044
DNAJC17	0.1297	0.15805	0.12703
DNAJC18	0.04461	0.26781	0.26103
DNAJC19	0.17913	0.45692	0.38979
DNAJC2	0.16448	0.33643	0.09807
DNAJC21	0.03373	0.03306	0.05451
DNAJC22	0.05658	0.10078	0.09477
DNAJC24	0.04966	0.11513	0.06417
DNAJC25	0.02502	0.04079	0.02725
DNAJC25-GNG10	0.00055	0.00046	0
DNAJC27	0.01802	0.05771	0.10531
DNAJC27-AS1	0.02735	0.04951	0.04153
DNAJC28	0.01638	0.0401	0.02629
DNAJC3	0.34604	0.26341	0.28899
DNAJC30	0.04909	0.14812	0.1032
DNAJC4	0.27918	0.17462	0.1031
DNAJC5	0.11489	0.12065	0.09771
DNAJC5B	0.00282	8e-04	0
DNAJC5G	0.00159	0.0022	0.00174
DNAJC6	0.00104	0.08661	0.8695
DNAJC7	0.37205	0.63431	0.42607
DNAJC8	0.50842	0.77681	0.57515
DNAJC9	0.17644	0.36047	0.23716
DNAJC9-AS1	0.01031	0.02083	0.00985
DNAL1	0.04097	0.09503	0.0473
DNAL4	0.03447	0.1085	0.04896
DNALI1	0.00167	0.16365	0.02544
DNASE1	0.04065	0.08836	0.04554
DNASE1L1	0.13442	0.02034	0.01587
DNASE1L2	0.00072	0.00657	0.00626
DNASE2	0.81199	0.22452	0.10224
DNASE2B	0.0067	0.00361	0
DND1	0.08796	0.16067	0.10523
DNER	0.00342	0.29875	0.42676
DNHD1	0.05652	0.10807	0.07079
DNLZ	0.01448	0.03659	0.02444
DNM1	0.00284	0.1047	0.00235
DNM1L	0.15311	0.38636	0.27388
DNM1P35	0.00186	0.0046	0.00201
DNM1P46	0.02885	0.02661	0.05973
DNM2	0.20347	0.09027	0.22717
DNM3	0.0126	0.17622	0.53666
DNM3OS	0.00297	0.05126	0.1547
DNMBP	0.04156	0.05883	0.02073
DNMBP-AS1	0.01778	0.01774	0.00931
DNMT1	0.15035	0.33763	0.13283
DNMT3A	0.07326	0.12429	0.09349
DNMT3B	0.00407	0.02394	0.01418
DNPEP	0.10225	0.13867	0.06478
DNPH1	0.27122	0.44999	0.25571
DNTTIP1	0.11239	0.1454	0.057
DNTTIP2	0.46961	0.48132	0.19969
DOC2A	0.01299	0.00907	0
DOC2B	0	0.00173	0
DOC2GP	0.00211	0.00073	0
DOCK1	0.02338	0.11074	0.44101
DOCK10	0.33637	0.15656	0.57006
DOCK11	0.11194	0.03108	0.01066
DOCK2	0.5249	0.00082	3e-05
DOCK3	0.00564	0.04094	0.11574
DOCK4	0.5742	0.16215	0.28037
DOCK5	0.09694	0.01189	0.72422
DOCK6	0.00838	0.03581	0.01018
DOCK7	0.06278	0.24363	0.05883
DOCK8	0.55858	0.00064	0
DOCK9	0.00526	0.0351	0.55306
DOHH	0.03207	0.12887	0.49179
DOK1	0.31469	0.07496	0.0269
DOK2	0.17576	0.00031	0
DOK3	0.40446	0.02019	0.00041
DOK4	0.00316	0.07173	0.00851
DOK5	0.01383	0.24598	0.00025
DOK6	0.00265	0.0137	0.00087
DOK7	0.00016	0.00472	0
DOLK	0.09795	0.19899	0.10498
DOLPP1	0.05787	0.24214	0.21612
DONSON	0.02301	0.07012	0.02204
DOP1A	0.04969	0.08458	0.07025
DOP1B	0.09493	0.06317	0.02473
DOT1L	0.01673	0.08292	0.02742
DPAGT1	0.23509	0.23018	0.18929
DPCD	0.07122	0.19443	0.02323
MUCL3	0.00116	0.00131	0.00506
DPEP2	0.14868	0.00042	0
DPEP3	0.02093	0.00021	0
DPF1	0.00115	0.07441	0.03534
DPF2	0.19175	0.50691	0.56214
DPF3	0.00428	0.17919	0.06975
DPH1	0.13009	0.22292	0.10127
DPH2	0.08002	0.22565	0.11747
DPH3	0.09794	0.18899	0.15515
DPH3P1	0.02501	0.03976	0.04838
DPH5	0.13515	0.27495	0.14979
DPM1	0.25484	0.54262	0.18852
DPM2	0.1674	0.3663	0.27769
DPM3	0.12586	0.24611	0.1542
DPP10	3e-05	0.0353	0.00048
DPP3	0.1323	0.20652	0.23227
DPP4	0.0346	0.05225	5e-05
DPP6	0.00189	0.56658	0.13752
DPP7	0.69889	0.32922	0.4825
DPP8	0.2118	0.26223	0.25296
DPP9	0.1594	0.195	0.13133
DPPA2	0.00271	0.00273	0.00083
DPPA2P3	0.00165	0.00163	0
DPPA3	0.00045	0.00676	3e-04
DPPA4	0.01184	0.01172	0.00719
DPPA5	0.00168	0.00109	0.00026
DPRX	0	0.00706	0
DPRXP4	0.0705	0.00822	0
DPY19L1	0.04055	0.12339	0.15342
DPY19L1P1	0.02852	0.08246	0.02983
DPY19L2	0.00413	0.0834	0.00723
DPY19L2P1	0.00112	0.04141	0.00179
DPY19L2P2	0.14247	0.24434	0.14148
DPY19L2P3	0.00462	0.03487	0.01662
DPY19L2P4	0.00074	0.03282	0.00319
DPY19L3	0.03631	0.23633	0.09174
DPY19L4	0.0618	0.17936	0.22054
DPY30	0.27527	0.55353	0.54666
DPYD	0.494	0.12962	0.28397
DPYD-AS1	0.00153	0.00037	0
DPYS	0.00807	8e-04	0
DPYSL2	0.66669	1.24983	2.42765
DPYSL3	0.01283	0.58853	0.00658
DPYSL4	0.00221	0.23229	0.08078
DPYSL5	0.01465	0.29912	0.86845
DQX1	0.00177	0.00173	1e-04
DR1	0.35542	0.3677	0.226
DRAM1	0.09896	0.04781	0.0067
DRAM2	0.63226	0.23608	0.1715
DRAP1	0.22021	0.2859	0.26817
DRAXIN	0.00207	0.15508	0.00057
DRD1	0	0.00034	0
DRD2	0.00038	0.01242	0.00429
DRD3	0.00014	0.00175	0
DRD4	0.00081	0.00061	0
DRD5	4e-04	0.00144	0
DRG1	0.28128	0.58916	0.47047
DRG2	0.15377	0.2492	0.24138
DROSHA	0.04161	0.11486	0.06951
DRP2	0.00041	0.03182	0.00069
DSC1	0.00274	0.00284	0.00145
DSC2	0.14734	0.01603	0.00055
DSC3	0.0136	0.01646	0.01021
DSCAM	0.01442	0.2354	0.00244
DSCAM-AS1	0.0083	0.01857	0.0053
DSCAM-IT1	0.00301	0.01507	0
DSCAML1	0.00029	0.06605	0.24584
DSCC1	0.01244	0.11718	0.03295
VPS26C	0.2154	0.2613	0.35434
DSCR9	0.00467	0.01206	0.00819
DSE	0.23257	0.0318	0.00727
DSEL	0.0139	0.62974	0.26865
DSG1	0.00011	0.00021	0
DSG2	0.01372	0.03752	0.01376
DSG3	0.01176	0.01518	0.01179
DSG4	0.00034	0.00021	0
DSN1	0.08947	0.18494	0.02232
DSP	0.00015	0.00102	0
DSPP	0.01562	0.0016	0
DST	0.13016	0.36538	0.64836
DSTN	0.43908	1.52108	1.74474
DSTNP2	0.04813	0.05535	0.03634
DSTYK	0.06576	0.11575	0.15805
DTD1	0.16764	0.65991	0.4411
DTD2	0.07041	0.15572	0.20582
DTHD1	0.01175	0.01285	0.01038
DTL	0.01457	0.14674	0.01218
DTNA	0.10761	0.59512	0.28986
DTNB	0.13785	0.11328	0.21292
DTNBP1	0.11062	0.13953	0.05948
DTWD1	0.06731	0.16897	0.14945
DTWD2	0.03682	0.03123	0.03182
DTX1	0.00037	0.03279	0.00743
DTX2	0.22324	0.15007	0.13323
DTX2P1-UPK3BP1-PMS2P11	0.04653	0.06284	0.04764
DTX3	0.0058	0.15671	0.05884
DTX3L	0.20578	0.17155	0.13238
DTX4	0.00376	0.02784	0.07567
DTYMK	0.10141	0.42869	0.15808
DUOX1	0.00482	0.01803	0.02998
