Immune cells	Malignant cells	Others
ACOT1	0.02444	0.06555	0.01918
ACOT11	0.03461	0.03008	0.01795
ACOT12	8e-05	0.00637	8e-05
ACOT13	0.18275	0.18628	0.14147
ACOT2	0.14288	0.24127	0.06987
ACOT4	0.01145	0.00755	0.00972
ACOT6	0.0018	0.00621	0
ACOT7	0.02863	0.40229	0.58877
ACOT8	0.11403	0.25701	0.25992
ACOT9	0.32743	0.21494	0.03578
ACOX1	0.09823	0.21237	0.10958
ACOX2	0.00568	0.05501	0.00187
ACOX3	0.09166	0.13811	0.12855
ACOXL	6e-05	0.00186	0
ACP1	0.4376	0.92298	0.70548
ACP2	0.28914	0.32066	0.25242
ACP5	0.13303	0.00342	0.00132
ACP6	0.03891	0.11351	0.0302
PXYLP1	0.01729	0.23563	0.04403
ACPP	0.13218	0.00426	0.00099
ACP4	0.00122	0.00434	0.00146
ACR	0	0.00072	0
ACRBP	0.07987	0.01079	0.00017
GCNA	0.02557	0.01526	0.00579
ACRV1	2e-05	0.02992	0
ACSBG1	0.00271	0.13818	0.01062
ACSBG2	0.00107	0.00631	0.00203
ACSF2	0.13476	0.03694	0.00619
ACSF3	0.11509	0.1207	0.07247
ACSL1	1.02593	0.10161	0.58718
ACSL3	0.28983	0.57174	0.45394
ACSL4	0.27645	0.09666	0.10269
ACSL5	0.19025	0.00448	0.00023
ACSL6	0.01726	0.04916	0.01626
ACSM1	0.00078	0.00027	0.0021
ACSM2A	4e-05	3e-04	0
ACSM3	0.01038	0.00093	0.00016
ACSM4	0.00061	0.00056	0.00062
ACSM5	0.13491	0.00907	0.00475
ACSS1	0.04832	0.07412	0.0416
ACSS2	0.08552	0.11819	0.25317
ACSS3	0.00138	0.17873	0.00308
ACTA1	0.00197	0.00617	0.00023
ACTA2	0.0685	0.06724	0.00583
ACTB	4.15773	3.90727	4.14193
ACTBL2	0	0.00063	0
ACTC1	0.00025	0.01838	0.00014
ACTG1	2.36205	3.41002	3.309
ACTG1P4	0.00262	0.00892	0.00172
ACTG2	0.0014	0.00562	0.00047
ACTL10	0.00233	0.00542	0.00681
ACTL6A	0.225	0.58455	0.35917
ACTL6B	0	0.11552	0
ACTL7A	0.00234	0.00289	0
ACTL7B	0	0.00082	0
ACTL8	1e-04	0.0013	0
ACTN1	0.13104	0.24336	0.00762
ACTN2	0.0042	0.13358	0.27207
ACTN3	0	0.00072	0.0011
ACTN4	0.16928	0.44567	0.71256
ACTR10	0.30718	0.57051	0.62898
ACTR1A	0.37311	0.59451	0.81286
ACTR1B	0.14517	0.20251	0.44562
ACTR2	0.70805	0.40078	0.42395
ACTR3	1.11615	0.89978	0.72418
ACTR3B	0.01132	0.112	0.03461
ACTR3BP2	0.00213	0.00173	0
ACTR3BP5	0.00374	0.00251	0
ACTR3C	0.0107	0.01481	0.00273
ACTR5	0.05861	0.1145	0.062
ACTR6	0.13578	0.39471	0.28779
ACTR8	0.10556	0.19424	0.11363
ACTRT3	0.0085	0.00336	0.00988
ACVR1	0.03908	0.05022	0.02042
ACVR1B	0.02279	0.05457	0.01806
ACVR1C	0.00036	0.00461	0.0368
ACVR2A	0.05442	0.22179	0.10195
ACVR2B	0.0075	0.056	0.03164
ACVR2B-AS1	0.00454	0.012	0.00498
ACVRL1	0.00923	0.00469	0.00047
ACY1	0.13255	0.12037	0.10568
ACY3	0.13502	0.01131	0.00197
ACYP1	0.05698	0.23648	0.19177
ACYP2	0.10413	0.29518	0.85096
ADA	0.06425	0.08358	0.43068
ADAD1	2e-05	0.00022	0
ADAD2	0.00169	0.00025	0.00016
ADAL	0.03897	0.09677	0.06833
ADAM10	0.40857	0.30169	0.4843
ADAM11	0.00166	0.01778	0.00158
ADAM12	0.00881	0.05395	0.01116
ADAM15	0.1463	0.19706	0.44668
ADAM17	0.40851	0.37675	0.20169
ADAM18	3e-05	0.00045	0
ADAM19	0.05235	0.10085	0.09975
ADAM1A	0.0125	0.06421	0.01633
ADAM20	0.00201	0.01531	0.00558
ADAM20P1	0.00167	0.00742	0
ADAM21	0.00192	0.00669	0
ADAM21P1	7e-05	0.00121	0
ADAM22	0.00861	0.16716	0.0804
ADAM23	2e-05	0.05015	0.00514
ADAM28	1.14201	0.00708	0
ADAM30	0.00021	0.00053	0
ADAM32	0.0016	0.00818	0.00124
ADAM33	0.00311	0.02276	0.00137
ADAM3A	8e-05	0.00064	0.00028
ADAM5	0	6e-04	0
ADAM7	0.00018	0.0013	0.00028
ADAM8	0.14282	0.00441	0.007
ADAM9	0.63672	0.57902	0.22208
ADAMDEC1	0.13669	0.00062	6e-04
ADAMTS1	0.00153	0.16575	0.28119
ADAMTS10	0.04118	0.03673	0
ADAMTS12	6e-05	0.00653	0.00142
ADAMTS13	0.00348	0.02557	0.0191
ADAMTS14	0.00291	0.00577	0.06387
ADAMTS15	0.00322	0.00261	0
ADAMTS16	7e-05	0.00522	5e-04
ADAMTS17	0.01007	0.0152	0.00536
ADAMTS18	0.00025	0.00729	0.15642
ADAMTS19	0.00103	0.00533	0.00767
ADAMTS2	0.01323	0.00672	0.00971
ADAMTS20	1e-05	0.00399	0.00025
ADAMTS3	0.00082	0.0363	0.00018
ADAMTS4	0.05592	0.11609	1.2269
ADAMTS5	9e-04	0.01421	0.00542
ADAMTS6	0.00216	0.03922	0.00535
ADAMTS7	0.00058	0.0297	0.00268
ADAMTS8	0.00091	0.00302	0.04899
ADAMTS9	0.00079	0.1018	0.00011
ADAMTS9-AS2	0.00091	0.04039	0
ADAMTSL1	2e-05	0.0274	0.00047
ADAMTSL2	0.06079	0.03042	0.02969
ADAMTSL3	8e-05	0.00166	0.01518
ADAMTSL4	0.07864	0.02743	0.00839
ADAMTSL5	0.00354	0.00179	0.00065
ADAP1	0.02921	0.00705	0.28971
ADAP2	0.6448	0.00379	5e-05
ADAR	0.21706	0.40772	0.32531
ADARB1	0.01359	0.02349	0.00905
ADARB2	0.00166	0.00326	0.20933
ADARB2-AS1	0	0.00156	0.0707
ADAT1	0.1171	0.20074	0.11383
ADAT2	0.03543	0.0375	0.01438
ADAT3	0.01106	0.02154	0.05108
AZIN2	0.11998	0.05117	0.26562
ADCK1	0.06844	0.08228	0.11424
ADCK2	0.06083	0.03288	0.03123
COQ8A	0.10868	0.13025	0.2252
COQ8B	0.0762	0.21664	0.12576
ADCK5	0.05945	0.07194	0.04229
ADCY1	0.00407	0.05584	0.00272
ADCY10	0.00172	0.00242	0
ADCY10P1	0.01664	0.0176	0.06508
ADCY2	0.00244	0.02103	0.0018
ADCY3	0.08483	0.03341	0.07457
ADCY4	0.01372	0.00175	0.00022
ADCY5	0.00044	0.02186	0.17229
ADCY6	0.02283	0.10895	0.03655
ADCY7	0.40874	0.04447	0.02926
ADCY8	0.00113	0.0373	0.00111
ADCY9	0.00517	0.01446	0.00276
ADCYAP1	6e-05	0.01802	0.00056
ADCYAP1R1	0.00083	0.15414	0.00384
ADD1	0.17006	0.49382	0.63724
ADD2	0.00249	0.23205	0.00038
ADD3	0.1048	0.21873	0.88201
ADGB	2e-04	0.00016	6e-05
ADH1A	0	0.00061	3e-04
ADH1B	4e-05	0.00013	0.00014
ADH4	0.00787	0.01333	0.00737
ADH5	0.26978	0.78346	0.44218
ADH6	0.00041	0.00346	0
ADH7	5e-05	3e-04	0
ADHFE1	0.07088	0.07686	0.09506
ADI1	0.43957	0.5196	0.62002
ADIG	0.00044	0.00102	0
ADIPOQ	0.00599	0.00823	0.00471
ADIPOQ-AS1	0.00198	0.00299	0.00235
ADIPOR1	0.69554	0.55059	0.97074
ADIPOR2	0.04275	0.06134	0.3442
ADIRF	0.00143	0.00843	0
ADK	0.15382	0.23297	0.12263
ADM	0.28888	0.25841	0.01753
ADM2	0.0088	0.01165	0.00575
ADM5	0.00644	0.01859	0
ADNP	0.08692	0.2468	0.0842
ADNP2	0.04668	0.07977	0.0667
ADO	0.03757	0.04955	0.13141
ADORA1	0.00436	0.07468	0.13792
ADORA2A	0.02501	0.0236	0.00092
ADORA2A-AS1	0.00509	0.00566	0.00143
ADORA2B	0.02007	0.04684	0.00592
TMIGD3	1.22975	0.00267	0.01623
ADPGK	0.70188	0.26056	0.20454
ADPGK-AS1	0.06667	0.03163	0.02892
ADPRH	0.14983	0.03092	0.02001
ADPRHL1	0.00029	0.00924	0.01606
ADPRHL2	0.15974	0.39192	0.49058
ADPRM	0.08334	0.12626	0.06869
ADRA1A	0.05515	0.09316	0.05364
ADRA1B	0.00084	0.00085	0
ADRA1D	0	0.00326	0
ADRA2A	0.00086	0.00155	0
ADRA2C	0.00013	0.00028	0
ADRB1	0.0023	0.0164	0
ADRB2	0.477	0.00499	0.00552
ADRB3	0.00098	0.00019	0
GRK2	0.21832	0.05603	0.04353
GRK3	0.1111	0.04842	0.02564
ADRM1	0.40755	0.65071	0.66105
ADSL	0.29351	0.47994	0.34486
ADSS	0.20365	0.23727	0.63506
ADSSL1	0.04651	0.02764	0.02969
ADTRP	0.00363	0.00024	0
AEBP1	0.0014	0.13193	0.0081
AEBP2	0.08981	0.2031	0.08086
AEN	0.10555	0.25312	0.10054
AES	0.08685	0.32045	0.13678
AFAP1	0.02441	0.17104	0.02874
AFAP1-AS1	0.00502	0.00996	0.00031
AFAP1L1	0.00436	0.09071	0.01019
AFAP1L2	0.00332	0.13169	0.00731
AFF1	0.1443	0.10466	0.12689
AFF2	5e-05	0.00503	0
AFF3	0.01664	0.07575	0.01377
AFF4	0.2835	0.47131	0.42481
AFG3L1P	0.12308	0.20032	0.14642
AFG3L2	0.12337	0.20291	0.12389
AFMID	0.19398	0.19976	0.90396
AFTPH	0.15963	0.13917	0.09498
AGA	0.15923	0.15148	0.41385
AGAP1	0.0018	0.12635	0.20728
AL136982.1	0.00279	0.00502	0.00331
AGAP2	0.02619	0.10841	0.00052
AGAP3	0.08563	0.16836	0.11086
AGAP4	0.03675	0.04474	0.02223
AGAP5	0.06243	0.05754	0.02631
AGAP6	0.0624	0.10091	0.05942
AGAP7P	0.00948	0.02062	0.00831
AGBL2	0.00356	0.00808	4e-04
AGBL3	0.00657	0.02996	0.01094
AGBL4	0.00102	0.01135	0.00012
AGBL5	0.02397	0.14706	0.06228
AGER	0.02652	0.02798	0.00486
AGFG1	0.0673	0.08228	0.08227
AGFG2	0.01852	0.08973	0.01926
AGGF1	0.12347	0.21218	0.14973
AGK	0.16133	0.27971	0.13056
AGL	0.05554	0.09491	0.08559
AGMAT	0.05712	0.05404	0.03601
AGMO	0.00739	0.12473	0.05107
AGO1	0.08734	0.15049	0.10741
AGO2	0.06351	0.13297	0.11877
AGO3	0.12882	0.21505	0.25053
AGO4	0.07311	0.05654	0.03419
AGPAT1	0.13466	0.35377	0.35824
AGPAT2	0.17724	0.06169	1e-04
AGPAT3	0.04816	0.0744	0.0968
AGPAT4	0.01897	0.12648	0.36256
AGPAT5	0.11478	0.29847	0.1832
GPAT4	0.18932	0.24017	0.24141
GPAT3	0.09025	0.00542	0.00215
AGPS	0.05716	0.06749	0.09485
AGR2	6e-05	0.00053	0
AGRN	0.00308	0.06624	0.03562
AGRP	0.00639	0.00341	0.00859
AGT	0.01009	0.57697	0.27735
AGTPBP1	0.10454	0.10753	0.38141
AGTR1	0	0.00229	0
AGTRAP	0.38871	0.26705	0.47743
AGXT	0	0.00561	0
AHCTF1	0.06823	0.11689	0.06275
AHCTF1P1	0.00048	0.00539	0.00066
AHCY	0.24366	0.64768	0.41445
AHCYL1	0.1843	0.44377	0.23097
AHCYL2	0.02624	0.13605	0.03507
AHDC1	0.00749	0.0339	0.00637
AHI1	0.11119	0.22785	0.20771
AHNAK	0.34927	0.07339	0.00026
AHNAK2	0.01955	0.00973	0.00709
AHR	0.20463	0.10878	0.16555
AHRR	0.00207	0.0102	0.00052
AHSA1	0.44752	0.57255	0.8076
AHSA2P	0.11013	0.08926	0.12098
AHSG	0	0.00663	0.00011
AICDA	0.01713	0.02095	0.01116
AIDA	0.22892	0.19103	0.29223
AIF1	1.76458	0.00266	0.00916
AIF1L	0.00453	0.4771	1.73514
AIFM1	0.14426	0.22515	0.15086
AIFM2	0.02772	0.05087	0.02741
AIFM3	0.00526	0.00342	0.00306
AIG1	0.34238	0.34028	0.61436
CRYBG1	0.10411	0.01424	0.00511
CRYBG2	0.00217	0.00048	0
AIM2	0.04057	0.01919	0.00372
AIMP1	0.18076	0.30803	0.23201
AIMP2	0.16434	0.40427	0.16793
AIP	0.40018	0.41689	0.6558
AIPL1	0.02582	0.03523	0.02242
AIRE	0.00189	0.00395	0.004
AIRN	0.004	0.00177	0.00123
AJAP1	0.00071	0.00401	0.03116
AJUBA	0.00115	0.03032	0.00095
AK1	0.06848	0.1969	0.23152
AK2	0.40768	0.46229	0.45571
AK3	0.16997	0.30337	0.25719
AK4	0.04175	0.2781	0.04599
AK5	0.0012	0.00675	0.53232
AK7	1e-04	0.00246	0.02053
AK8	0.00166	0.01167	0.01124
AKAP1	0.03397	0.07245	0.06707
AKAP10	0.17226	0.17787	0.15999
AKAP11	0.09238	0.18182	0.18928
AKAP12	0.00888	0.20264	0.01055
AKAP13	0.60747	0.21721	0.00428
AKAP14	0	0.00216	0
AKAP17A	0.05956	0.05062	0.03235
AKAP2	0.04183	0.04638	0.03721
AKAP3	0.00241	0.0098	0.02265
AKAP5	0.0364	0.0549	0.0316
AKAP6	0.00441	0.1262	0.33928
AKAP7	0.04512	0.27263	0.03813
AKAP8	0.13472	0.2732	0.15837
AKAP8L	0.07349	0.19816	0.12497
AKAP9	0.19556	0.27597	0.21383
AKIP1	0.36521	0.41765	0.35059
AKIRIN1	0.38022	0.65461	0.85902
AKIRIN2	0.44128	0.51487	0.36293
AKNA	0.21533	0.04605	0.02262
AKNAD1	3e-05	0.05451	0.00601
AKR1A1	0.80087	0.42762	0.4805
AKR1B1	1.17298	0.8835	0.58704
AKR1B10	0.01338	0.01664	0.00819
AKR1B15	0.00095	0.00132	0.00157
AKR1C1	0.00152	0.01782	0
AKR1C2	0.00033	0.00552	4e-05
AKR1C3	0.04146	0.03885	0
AKR1C6P	0.00097	0.00079	0.00051
